"date","Plate.SN","rowi","coli","acsn","treatment","conc","rval","srcf","wllq","wllq_notes"
"20180801","MW1207-21",1,1,"CCTE_Shafer_MEA_dev_AB",1475812,0.03,22652,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,1,"CCTE_Shafer_MEA_dev_LDH",1475812,0.03,1.18746666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,2,"CCTE_Shafer_MEA_dev_AB",1475812,0,22648,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,2,"CCTE_Shafer_MEA_dev_LDH",1475812,0,1.13906666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,3,"CCTE_Shafer_MEA_dev_AB",1475812,0.1,22015,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,3,"CCTE_Shafer_MEA_dev_LDH",1475812,0.1,1.16316666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,4,"CCTE_Shafer_MEA_dev_AB",1475812,0.3,22781,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,4,"CCTE_Shafer_MEA_dev_LDH",1475812,0.3,1.05106666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,5,"CCTE_Shafer_MEA_dev_AB",1475812,1,22460,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,5,"CCTE_Shafer_MEA_dev_LDH",1475812,1,1.13606666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,6,"CCTE_Shafer_MEA_dev_AB",1475812,3,22126,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,6,"CCTE_Shafer_MEA_dev_LDH",1475812,3,0.998766666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,7,"CCTE_Shafer_MEA_dev_AB",1475812,10,24805,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,7,"CCTE_Shafer_MEA_dev_LDH",1475812,10,1.09726666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,8,"CCTE_Shafer_MEA_dev_AB",1475812,30,26136,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,8,"CCTE_Shafer_MEA_dev_LDH",1475812,30,1.16776666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,1,"CCTE_Shafer_MEA_dev_AB",1475816,0.03,21010,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,1,"CCTE_Shafer_MEA_dev_LDH",1475816,0.03,1.20126666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,2,"CCTE_Shafer_MEA_dev_AB",1475816,0,21882,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,2,"CCTE_Shafer_MEA_dev_LDH",1475816,0,1.27376666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,3,"CCTE_Shafer_MEA_dev_AB",1475816,0.1,20272,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,3,"CCTE_Shafer_MEA_dev_LDH",1475816,0.1,1.08826666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,4,"CCTE_Shafer_MEA_dev_AB",1475816,0.3,21362,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,4,"CCTE_Shafer_MEA_dev_LDH",1475816,0.3,1.14296666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,5,"CCTE_Shafer_MEA_dev_AB",1475816,1,21952,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,5,"CCTE_Shafer_MEA_dev_LDH",1475816,1,1.07846666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,6,"CCTE_Shafer_MEA_dev_AB",1475816,3,21920,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,6,"CCTE_Shafer_MEA_dev_LDH",1475816,3,1.18096666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,7,"CCTE_Shafer_MEA_dev_AB",1475816,10,22609,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,7,"CCTE_Shafer_MEA_dev_LDH",1475816,10,0.993266666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,8,"CCTE_Shafer_MEA_dev_AB",1475816,30,23325,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,8,"CCTE_Shafer_MEA_dev_LDH",1475816,30,1.04826666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,1,"CCTE_Shafer_MEA_dev_AB",1475817,0.03,20342,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,1,"CCTE_Shafer_MEA_dev_LDH",1475817,0.03,1.15576666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,2,"CCTE_Shafer_MEA_dev_AB",1475817,0,21103,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,2,"CCTE_Shafer_MEA_dev_LDH",1475817,0,1.13326666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,3,"CCTE_Shafer_MEA_dev_AB",1475817,0.1,19547,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,3,"CCTE_Shafer_MEA_dev_LDH",1475817,0.1,0.973166666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,4,"CCTE_Shafer_MEA_dev_AB",1475817,0.3,21272,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,4,"CCTE_Shafer_MEA_dev_LDH",1475817,0.3,1.00186666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,5,"CCTE_Shafer_MEA_dev_AB",1475817,1,22312,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,5,"CCTE_Shafer_MEA_dev_LDH",1475817,1,1.11396666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,6,"CCTE_Shafer_MEA_dev_AB",1475817,3,21117,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,6,"CCTE_Shafer_MEA_dev_LDH",1475817,3,0.956266666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,7,"CCTE_Shafer_MEA_dev_AB",1475817,10,23194,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,7,"CCTE_Shafer_MEA_dev_LDH",1475817,10,1.09226666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,8,"CCTE_Shafer_MEA_dev_AB",1475817,30,23664,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,8,"CCTE_Shafer_MEA_dev_LDH",1475817,30,1.00046666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
