"date","plate.SN","well","treatment","dose","units","NHEERL_MEA_dev_firing_rate_mean","NHEERL_MEA_dev_burst_rate","NHEERL_MEA_dev_per_burst_interspike_interval","NHEERL_MEA_dev_per_burst_spike_percent","NHEERL_MEA_dev_burst_duration_mean","NHEERL_MEA_dev_interburst_interval_mean","NHEERL_MEA_dev_active_electrodes_number","NHEERL_MEA_dev_bursting_electrodes_number","NHEERL_MEA_dev_network_spike_number","NHEERL_MEA_dev_network_spike_peak","NHEERL_MEA_dev_spike_duration_mean","NHEERL_MEA_dev_per_network_spike_spike_percent","NHEERL_MEA_dev_per_network_spike_interspike_interval_mean","NHEERL_MEA_dev_network_spike_duration_std","NHEERL_MEA_dev_per_network_spike_spike_number_mean","NHEERL_MEA_dev_correlation_coefficient_mean","NHEERL_MEA_dev_mutual_information_norm"
"20140205","MW1007-26","A1","Acetaminophen","0.00000","uM",9.654641,17.073214,0.263361,423.71825,4.859116,227.752107,102,92,352,83.436147,1.470189,83.156534,177.031215,0.636203,356.324675,1.599261,0.049872
"20140212","MW1007-27","A1","Acetaminophen","0.00000","uM",10.00903,13.154545,0.397381,222.342286,3.780607,197.528464,79.5,54,548.5,56.543501,0.882171,63.379201,952.631664,0.310229,143.597834,0.653788,0.024226
"20140402","MW1007-27","A1","Acetaminophen","0.00000","uM",10.229088,21.467875,0.319011,574.142248,4.373842,267.093592,116.5,106.5,431.5,98.246456,1.397618,106.810105,99.272744,0.553484,371.316543,2.107717,0.07653
"20140423","MW1007-38","A1","Acetaminophen","0.00000","uM",8.040535,15.409675,0.235936,345.328686,2.483122,164.486083,65.5,50.5,488,52.645556,0.697698,109.604455,219.219792,0.241286,147.153122,1.310437,0.038699
"20140205","MW1007-26","A8","Acetaminophen","0.00000","uM",7.340491,13.703654,0.233511,367.197917,2.874649,215.040951,92.5,82,354,78.628788,1.003392,112.004598,169.58011,0.405387,304.813447,1.617117,0.047749
"20140212","MW1007-27","A8","Acetaminophen","0.00000","uM",4.016808,8.50875,0.318406,144.3315,2.302167,225.652333,40,26,185.5,31.31448,0.412094,37.2105,168.520648,0.100483,74.11991,0.39726,0.006286
"20140402","MW1007-27","A8","Acetaminophen","0.00000","uM",7.724141,15.031374,0.246556,632.660363,4.35906,446.76072,104.5,90,391,95.380977,1.58179,147.490324,363.303262,0.72026,388.641762,2.589068,0.067863
"20140423","MW1007-38","A8","Acetaminophen","0.00000","uM",5.970064,12.123506,0.174856,390.852173,1.566615,246.649288,65,52.5,620.5,54.159982,0.606441,149.711434,156.659266,0.246784,174.800079,1.719964,0.048323
"20140730","MW1007-104","A1","Bisindolymaleimide 1","0.00000","uM",3.324396,7.557723,0.146364,224.136798,1.959227,159.798854,45.75,41.958333,213.75,40.635455,0.548272,68.17861,96.395864,0.253082,144.45681,0.891822,0.012706
"20140730","MW1007-104","A8","Bisindolymaleimide 1","0.00000","uM",3.179562,6.365799,0.198246,194.861756,2.415352,161.022396,44.25,37.458333,134.25,41.349344,0.578573,38.66174,125.207877,0.245595,127.18181,0.584039,0.002248
"20140205","MW1007-26","B1","Bisindolymaleimide 1","0.00000","uM",14.650192,28.57125,0.559626,493.955844,8.55575,294.005313,108.5,101,522.5,81.298412,1.199672,78.837954,153.46369,0.727972,289.327972,1.582602,0.060432
"20140716","MW1007-26","B1","Bisindolymaleimide 1","0.00000","uM",5.688052,8.354,0.266359,386.49925,2.239214,368.449893,53.5,40.5,180,41.916667,0.483334,69.249283,126.920093,0.107167,138.377778,0.790758,0.018501
"20140212","MW1007-27","B1","Bisindolymaleimide 1","0.00000","uM",8.050419,14.985495,0.550101,221.606575,5.104994,142.562276,69,50.5,747,33.847781,0.429248,73.189577,40.743981,0.2858,77.009631,0.505994,0.022358
"20140402","MW1007-27","B1","Bisindolymaleimide 1","0.00000","uM",7.250382,14.086875,0.349203,537.355938,4.415781,385.04925,121,108.5,306,85.377911,1.10654,141.630557,138.305192,0.388714,436.263625,2.478198,0.07147
"20140423","MW1007-38","B1","Bisindolymaleimide 1","0.00000","uM",2.993079,6.926014,0.120545,247.38576,1.096913,155.595067,51,39.5,233,51.1851,0.730367,111.6202,262.60374,0.231732,149.976959,1.189252,0.020758
"20140716","MW1007-26","B7","Bisindolymaleimide 1","0.00000","uM",0.746891,2.42,0.04741,131.8545,0.540375,24.108,13.5,6,82.5,12.081818,0.190417,32.605583,23.709722,0.048258,24.845455,0.245029,0.003361
"20140205","MW1007-26","B8","Bisindolymaleimide 1","0.00000","uM",14.218766,26.895625,0.494224,399.060388,5.318907,293.032088,85.5,77,343,67.000784,0.967429,69.427816,275.249232,0.353949,196.449458,1.084927,0.028532
"20140212","MW1007-27","B8","Bisindolymaleimide 1","0.00000","uM",10.997324,20.653455,0.523092,271.031089,5.057833,197.602078,61,51,669,40.471154,0.539048,76.004955,122.641226,0.283628,108.889557,0.70133,0.023442
"20140402","MW1007-27","B8","Bisindolymaleimide 1","0.00000","uM",8.417841,17.0175,0.46969,525.4246,5.365777,334.890775,108.5,101.5,426.5,96.669242,1.268836,111.627527,557.426337,0.557345,329.571365,2.033292,0.057815
"20140423","MW1007-38","B8","Bisindolymaleimide 1","0.00000","uM",1.958501,6.1875,0.13836,229.957,0.863,189.532167,25.5,21,121.5,28.744949,0.376161,67.847654,264.7975,0.109395,70.234848,0.814628,0.007232
"20140730","MW1007-104","D1","Bisindolymaleimide 1","0.00000","uM",5.798365,11.068299,0.278223,324.659256,2.885652,242.815829,60.25,52.458333,275.25,45.253843,0.562173,80.160684,90.878214,0.277099,170.739662,1.144446,0.026099
"20140730","MW1007-104","D8","Bisindolymaleimide 1","0.00000","uM",6.369754,11.208916,0.353336,331.665744,3.852455,222.527216,76.75,55.458333,394.25,58.291224,0.76175,61.881708,575.477224,0.327211,145.835656,0.857658,0.01224
"20140716","MW1007-26","E1","Bisindolymaleimide 1","0.00000","uM",8.658992,14.315982,0.278698,314.873583,3.90824,296.181292,78,69.5,364.5,66.215517,0.922645,92.959999,185.796937,0.283147,299.788177,1.203525,0.049921
"20140716","MW1007-26","E7","Bisindolymaleimide 1","0.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20140205","MW1007-26","C1","Domoic Acid","0.00000","uM",12.203953,25.223269,0.590574,436.498425,5.306199,258.906108,97.5,90.5,433,79.836453,1.051954,109.053815,157.559367,0.469008,274.405058,1.554982,0.048683
"20140212","MW1007-27","C1","Domoic Acid","0.00000","uM",7.2431,11.965,0.325887,348.89275,3.839562,164.489987,65,49,412.5,44.768155,0.575287,73.6154,106.093305,0.218521,135.771726,0.86884,0.022754
"20140402","MW1007-27","C1","Domoic Acid","0.00000","uM",7.482015,18.691875,0.390575,500.587333,4.034802,236.94975,96,80,276.5,82.036325,1.17368,112.065677,220.674703,0.370567,347.070513,1.657334,0.047867
"20140423","MW1007-38","C1","Domoic Acid","0.00000","uM",5.491285,8.125714,0.147937,272.519143,1.452357,223.490571,40.5,27,171.5,28.742476,0.638686,68.216412,151.095699,0.161536,101.115937,1.000273,0.02432
"20140205","MW1007-26","C8","Domoic Acid","0.00000","uM",9.247093,18.675268,0.593093,473.788969,5.160281,218.516063,102,93,335.5,81.563806,1.095799,124.296481,136.898309,0.414286,305.844547,1.824377,0.046315
"20140212","MW1007-27","C8","Domoic Acid","0.00000","uM",3.628437,4.479643,0.052198,66.615107,0.503571,55.075179,35.5,21,76.5,49.168699,0.410241,111.048343,381.5425,0.065929,187.926829,0.75664,0.005758
"20140402","MW1007-27","C8","Domoic Acid","0.00000","uM",10.144372,16.850357,0.345508,514.224195,4.345171,292.126106,104.5,92.5,302,82.974178,1.117369,108.680359,151.73553,0.479988,428.795129,2.057274,0.070309
"20140423","MW1007-38","C8","Domoic Acid","0.00000","uM",3.932386,7.454615,0.116853,248.988286,0.818411,162.113071,46,35.5,217,47.195707,0.455616,120.344954,106.168614,0.077876,123.915404,1.250371,0.014011
"20140716","MW1007-26","A1","Glyphosate","0.00000","uM",13.959568,28.725077,0.315905,282.201615,3.611231,219.345769,69.5,65,891,59.145284,0.845454,92.737834,263.217168,0.293739,198.219231,0.977613,0.048147
"20140730","MW1007-104","B1","Glyphosate","0.00000","uM",6.685836,18.724038,0.249675,370.935166,2.328132,145.637643,69,63,282.25,63.239824,0.973174,101.823937,583.3935,0.293552,267.012288,1.33214,0.018872
"20140716","MW1007-26","D1","Glyphosate","0.00000","uM",7.044786,17.225795,0.197577,424.684417,2.174356,237.86085,86,75.5,296,76.923758,0.875484,125.860154,204.048967,0.232212,415.708569,1.838625,0.066702
"20140730","MW1007-104","E1","Glyphosate","0.00000","uM",12.267394,20.308681,0.249454,336.690855,3.056353,181.179504,66.5,64,440.75,62.792866,0.822704,103.141765,321.889758,0.275244,270.528767,1.420123,0.029264
"20140205","MW1007-26","D1","Loperamide","0.00000","uM",7.854252,16.830625,0.270069,371.111885,4.240174,215.715767,98,82,387.5,79.902688,1.007467,82.658821,193.095849,0.434073,251.955376,1.359775,0.042074
"20140212","MW1007-27","D1","Loperamide","0.00000","uM",6.88834,10.393125,0.242055,190.679214,2.722271,149.151271,59.5,40,454,35.411169,0.662421,51.315955,178.90625,0.239374,94.458253,0.444611,0.017073
"20140402","MW1007-27","D1","Loperamide","0.00000","uM",9.38251,18.65,0.542077,636.458281,10.935118,207.563596,92,77,254,72.781465,1.142128,122.814635,176.207977,0.455649,314.873379,1.579309,0.050938
"20140423","MW1007-38","D1","Loperamide","0.00000","uM",9.249182,12.6175,0.204996,423.708508,1.920485,266.746409,57.5,56,199,54.73227,1.010754,81.69374,370.658333,0.243498,185.425163,1.42243,0.030379
"20140205","MW1007-26","D8","Loperamide","0.00000","uM",11.65057,26.258615,0.55582,495.7007,5.480967,157.228867,98.5,82.5,427,70.68555,1.329607,78.438526,180.805529,0.541359,231.851026,1.289616,0.046052
"20140212","MW1007-27","D8","Loperamide","0.00000","uM",9.44366,13.05544,0.323603,361.043107,3.992536,253.586786,73,54,593.5,57.903396,0.701081,71.723728,388.890419,0.239375,183.167127,0.804312,0.029826
"20140402","MW1007-27","D8","Loperamide","0.00000","uM",9.081968,16.9185,0.390928,478.54735,4.619137,396.047462,109.5,104.5,349.5,103.536836,1.336848,103.59416,466.669817,0.442532,354.31099,1.860356,0.052872
"20140423","MW1007-38","D8","Loperamide","0.00000","uM",4.806788,11.185577,0.180507,380.915346,1.878746,315.313646,68.5,65,539.5,61.498479,0.717145,125.382792,241.605563,0.291905,172.70076,1.612019,0.039534
"20140205","MW1007-26","E1","Mevastatin","0.00000","uM",13.946197,27.524083,0.52115,602.242533,27.467146,172.856915,116.5,99.5,405.5,79.394181,1.283066,77.815417,152.070527,0.499134,258.658926,1.27196,0.041883
"20140212","MW1007-27","E1","Mevastatin","0.00000","uM",8.183817,12.859554,0.483735,274.194847,5.329332,185.385398,75.5,55.5,545,48.615966,0.551763,51.508091,150.398179,0.194821,111.39937,0.562635,0.016429
"20140402","MW1007-27","E1","Mevastatin","0.00000","uM",11.268203,19.27517,0.391321,589.51104,7.346723,298.846531,123.5,116,494.5,107.28,1.586881,100.096545,306.026766,0.74864,319.949231,2.235619,0.066716
"20140423","MW1007-38","E1","Mevastatin","0.00000","uM",6.016489,9.552168,0.19282,285.715074,1.771429,263.722685,61,57,290,61.200064,0.971527,105.060063,286.27653,0.254982,181.112676,1.384614,0.028034
"20140205","MW1007-26","E8","Mevastatin","0.00000","uM",13.615502,25.619375,0.607531,452.790981,7.177635,243.159933,111,95,589.5,75.238506,1.037121,71.499551,133.24406,0.507147,248.926724,1.34124,0.052155
"20140212","MW1007-27","E8","Mevastatin","0.00000","uM",10.731337,19.9365,0.449202,240.52515,3.96155,168.0509,65,51.5,867,34.621233,0.456391,69.492327,57.342545,0.258769,90.138102,0.567097,0.02598
"20140402","MW1007-27","E8","Mevastatin","0.00000","uM",6.817012,14.686946,0.425786,573.184331,5.614304,338.916702,111.5,104,223,111.24359,1.481841,109.628086,512.843546,0.560482,385.056777,2.10939,0.043893
"20140423","MW1007-38","E8","Mevastatin","0.00000","uM",3.546586,6.369231,0.188614,239.365,2.106958,184.82425,39,33,135,36.678788,0.60453,59.842414,126.529167,0.165422,112.992208,0.815684,0.011627
"20140730","MW1007-104","C1","Sodium Orthovanadate","0.00000","uM",9.965394,21.623233,0.228946,398.804918,2.989618,163.790131,80.5,70.5,375.5,66.96981,1.108677,83.435676,158.557627,0.464863,262.283844,1.466768,0.042931
"20140716","MW1007-26","C1","Sodium Orthovanadate","0.00000","uM",5.805272,14.257286,0.136152,434.650591,1.647945,195.875835,78.5,67.5,304.5,73.391837,0.813538,160.256295,168.773479,0.2026,383.338605,2.202882,0.054207
"20140730","MW1007-104","F1","Sodium Orthovanadate","0.00000","uM",6.120327,14.297705,0.263314,343.862108,2.731145,228.543202,80.5,71.5,347.5,66.729069,0.998225,88.185988,403.461624,0.316921,212.032618,1.385477,0.031077
"20140205","MW1007-26","F1","Sodium Orthovanadate","0.00000","uM",10.652004,19.426607,0.58461,368.654402,5.600987,242.689433,104.5,80.5,259,69.757495,0.901298,64.071728,454.535959,0.337254,260.182785,1.145227,0.035182
"20140716","MW1007-26","F1","Sodium Orthovanadate","0.00000","uM",6.803348,11.530286,0.333587,249.525021,3.423171,262.451486,67.5,51,336,60.642912,0.806044,73.728303,455.725218,0.214309,200.599619,0.717962,0.025024
"20140212","MW1007-27","F1","Sodium Orthovanadate","0.00000","uM",4.264228,8.72625,0.229469,175.891214,1.8805,141.248571,37,23,111,27.927495,0.590005,30.125673,282.912716,0.124627,73.626177,0.436915,0.006515
"20140402","MW1007-27","F1","Sodium Orthovanadate","0.00000","uM",7.302977,13.898571,0.272493,389.441279,3.301164,188.384529,51,40.5,181.5,46.013485,1.103372,73.540336,333.107459,0.249727,169.570391,1.079471,0.02324
"20140423","MW1007-38","F1","Sodium Orthovanadate","0.00000","uM",5.9747,12.199375,0.207827,322.9921,1.969355,196.200055,70,54,624.5,62.61703,0.807594,131.903318,207.69571,0.201536,169.352848,1.284873,0.039797
"20140205","MW1007-26","F8","Sodium Orthovanadate","0.00000","uM",13.371603,21.796364,0.664186,490.967969,13.087844,226.460292,98.5,78.5,241,66.599942,1.322002,72.573436,436.078469,0.663606,242.348315,1.074655,0.026941
"20140212","MW1007-27","F8","Sodium Orthovanadate","0.00000","uM",10.368413,20.976577,0.391273,362.96773,7.017818,127.844323,77,62.5,895,55.869863,0.764346,103.566287,368.524667,0.331435,136.795475,1.000532,0.041889
"20140402","MW1007-27","F8","Sodium Orthovanadate","0.00000","uM",13.422839,25.5025,0.431186,665.964813,12.368969,191.485875,111,101,338.5,81.919066,1.188368,100.348992,133.134979,0.561584,387.738132,2.171577,0.074254
"20140423","MW1007-38","F8","Sodium Orthovanadate","0.00000","uM",3.950518,11.915,0.206676,351.142602,1.421432,277.269375,54.5,49.5,396,44.700935,0.526052,126.369976,83.014145,0.134861,129.975857,1.430789,0.020266
"20140205","MW1007-26","C2","Domoic Acid","0.00030","uM",14.985667,28.73625,0.417795,514.898148,5.7107,245.177402,118.5,102,538.5,81.198173,1.197157,99.134437,139.283602,0.587918,359.087756,1.884111,0.081914
"20140205","MW1007-26","C3","Domoic Acid","0.00100","uM",10.968557,16.560857,0.365081,431.988429,4.365321,250.70156,95.5,85,360,76.742074,1.053876,150.706506,173.021024,0.461883,310.880825,1.835193,0.047735
"20140212","MW1007-27","C2","Domoic Acid","0.00300","uM",8.654967,16.984817,0.396395,295.7185,4.210008,171.028142,81.5,62.5,507,53.301449,0.735614,61.46515,280.642412,0.325661,110.576449,0.724114,0.023442
"20140402","MW1007-27","C2","Domoic Acid","0.00300","uM",9.487243,16.925,0.233342,620.799571,4.432509,401.387094,126,116,329.5,123.471141,1.676181,133.938252,393.348444,0.652963,590.164761,2.995372,0.102383
"20140423","MW1007-38","C2","Domoic Acid","0.00300","uM",5.6534,10.545,0.18684,367.7635,2.414462,277.927038,63.5,60.5,388.5,61.081731,0.895858,114.634819,222.999895,0.28817,244.150385,1.650249,0.042246
"20140205","MW1007-26","C4","Domoic Acid","0.00300","uM",11.495874,19.640872,0.536205,454.643872,6.850942,283.636753,107.5,93.5,193,90.646465,1.12099,107.662644,280.457264,0.313426,530.318182,1.840305,0.05028
"20140212","MW1007-27","C3","Domoic Acid","0.01000","uM",5.106736,9.52019,0.262898,411.012491,3.013197,275.025848,78,56,239,57.333094,1.017552,70.646438,422.023576,0.409184,189.217121,0.890999,0.021883
"20140402","MW1007-27","C3","Domoic Acid","0.01000","uM",9.775343,17.053125,0.417984,522.165604,4.969456,289.748071,108.5,99,342.5,95.978005,1.223183,103.260754,1342.647469,0.342655,396.924088,1.956714,0.055768
"20140423","MW1007-38","C3","Domoic Acid","0.01000","uM",5.470799,12.6025,0.201278,377.807906,2.002906,298.786625,72.5,67,411.5,69.269139,0.802511,102.095304,279.127832,0.253467,256.286483,1.66707,0.041482
"20140205","MW1007-26","C5","Domoic Acid","0.01000","uM",8.505561,21.098571,0.489725,531.015608,4.03441,237.943846,113.5,101.5,329,87.104334,1.004903,114.479497,157.665787,0.339657,461.055271,2.213068,0.060839
"20140730","MW1007-104","C2","Sodium Orthovanadate","0.01000","uM",3.867364,10.092317,0.202512,441.17451,2.348582,249.559577,75.25,67.5,214.25,68.512681,1.036567,121.122819,258.685694,0.274198,301.744262,1.742675,0.023478
"20140716","MW1007-26","C2","Sodium Orthovanadate","0.01000","uM",7.175259,15.42851,0.323081,532.901769,15.21657,183.630341,64.5,61,206,82.889039,0.819017,141.597258,446.853956,0.151912,400.373765,2.179001,0.03703
"20140730","MW1007-104","F2","Sodium Orthovanadate","0.01000","uM",9.319039,15.682871,0.232091,407.311541,11.42865,199.177802,86.75,70,299.75,75.875734,1.107858,100.375244,216.267812,0.348834,325.396019,1.688498,0.037643
"20140716","MW1007-26","F2","Sodium Orthovanadate","0.01000","uM",6.018993,15.5415,0.434662,271.515098,3.336598,120.584,62.5,43,341.5,44.583871,0.57021,97.084257,96.244634,0.15545,182.441935,0.919043,0.03027
"20140730","MW1007-104","A2","Bisindolymaleimide 1","0.03000","uM",7.828067,13.644457,0.32752,345.714357,3.89088,182.143416,72.333333,59.166667,319.416667,45.476476,0.580289,77.833673,73.283493,0.254093,201.021376,1.20388,0.018868
"20140205","MW1007-26","B2","Bisindolymaleimide 1","0.03000","uM",10.589126,18.270446,0.498715,532.333635,9.776458,277.537281,107,93,302,82.458591,1.07162,96.636157,160.160971,0.529614,324.857538,1.695627,0.047288
"20140716","MW1007-26","B2","Bisindolymaleimide 1","0.03000","uM",7.589198,13.962923,0.185242,256.223166,3.206984,149.709692,71,48.5,760.5,62.831433,0.780515,86.836707,563.570451,0.244042,211.726306,0.98993,0.038566
"20140212","MW1007-27","B2","Bisindolymaleimide 1","0.03000","uM",12.179165,22.830375,0.521174,327.373016,5.270487,113.827776,69,52.5,512.5,52.38353,0.713909,60.710961,99.87531,0.181106,113.41218,0.538966,0.018092
"20140402","MW1007-27","B2","Bisindolymaleimide 1","0.03000","uM",8.225844,14.491339,0.303946,603.302846,5.97761,336.761619,113.5,106.5,308,102.262047,1.349335,111.143937,410.842066,0.56474,449.871523,2.491394,0.067235
"20140423","MW1007-38","B2","Bisindolymaleimide 1","0.03000","uM",7.037862,11.552625,0.144867,380.777833,2.013661,324.305952,66.5,57,502,54.868687,0.716092,141.850268,204.8998,0.30657,189.785985,1.641632,0.052002
"20140730","MW1007-104","D2","Bisindolymaleimide 1","0.03000","uM",7.217556,14.581154,0.238482,415.745964,3.453755,217.465358,80.833333,74.166667,286.916667,69.770238,1.067159,88.961149,190.944223,0.338818,277.655982,1.641052,0.025835
"20140716","MW1007-26","E2","Bisindolymaleimide 1","0.03000","uM",5.485692,12.090192,0.132452,468.369648,1.564295,200.792381,97.5,86,166.5,86.952174,1.008682,134.747756,198.619091,0.178188,527.632609,2.244911,0.050145
"20140212","MW1007-27","C4","Domoic Acid","0.03000","uM",8.095914,11.89483,0.268358,306.512875,3.034594,255.47125,88.5,80,603.5,61.945023,0.830976,90.174461,156.159222,0.39449,154.713086,1.077738,0.030364
"20140402","MW1007-27","C4","Domoic Acid","0.03000","uM",6.780596,12.152679,0.407031,488.645996,4.801871,496.342077,112,99,208.5,105.493007,1.296436,109.387348,697.094589,0.365572,608.770396,1.910667,0.047653
"20140423","MW1007-38","C4","Domoic Acid","0.03000","uM",4.656207,9.679269,0.226203,339.003238,2.230762,381.360494,66.5,59,182.5,70.833333,0.674395,68.519185,446.400725,0.172766,263.97491,1.185249,0.023234
"20140205","MW1007-26","C6","Domoic Acid","0.03000","uM",11.48022,19.132232,0.503214,520.514042,13.761896,273.502292,109.5,95.5,208.5,83.006739,1.037763,72.961494,189.5462,0.348428,331.023784,1.436155,0.030003
"20140730","MW1007-104","C3","Sodium Orthovanadate","0.03000","uM",5.238791,11.892545,0.163267,463.491553,2.343946,230.871637,87,79.166667,218,76.259503,1.134463,127.950205,174.211265,0.374541,367.293594,2.098748,0.036487
"20140716","MW1007-26","C3","Sodium Orthovanadate","0.03000","uM",5.263025,9.96775,0.55352,347.663714,4.761548,443.653333,55.5,39.5,117,54.017522,0.784989,90.539109,1273.13159,0.198203,190.640801,1.227018,0.011652
"20140205","MW1007-26","F2","Sodium Orthovanadate","0.03000","uM",9.690922,17.382054,0.546872,446.296003,5.455667,222.667118,105.5,84.5,313,78.203513,1.26662,88.320476,143.9947,0.587309,295.119831,1.488648,0.046639
"20140730","MW1007-104","F3","Sodium Orthovanadate","0.03000","uM",9.658896,17.958958,0.224867,407.377072,3.633444,173.012057,93.5,81.666667,423.5,77.833114,1.269039,93.758914,133.611175,0.42782,247.428379,1.556227,0.045761
"20140716","MW1007-26","F3","Sodium Orthovanadate","0.03000","uM",9.914017,18.093125,0.316315,323.962567,4.261467,215.8326,76,64,466,65.946208,0.817158,96.922815,288.062998,0.291015,204.652557,0.959177,0.030617
"20140205","MW1007-26","A2","Acetaminophen","0.10000","uM",11.426327,23.17875,0.420215,561.703219,6.7825,224.528656,116,106,335.5,86.428082,1.087575,89.603205,135.46366,0.555085,366.773472,1.975894,0.062271
"20140212","MW1007-27","A2","Acetaminophen","0.10000","uM",7.128737,11.943,0.357112,252.155208,3.444988,280.822298,76,57,564.5,58.837719,0.635252,86.140145,566.51674,0.194852,155.921053,0.755323,0.024835
"20140402","MW1007-27","A2","Acetaminophen","0.10000","uM",11.215166,19.3875,0.328588,642.893,5.300156,325.72525,116,108.5,372,114.847712,1.494646,104.354766,335.833685,0.63708,480.837856,2.49903,0.088751
"20140423","MW1007-38","A2","Acetaminophen","0.10000","uM",5.799599,13.5825,0.153608,339.544415,1.689366,278.833772,76,67,826,60.894933,0.637727,151.351953,152.890702,0.307098,176.05371,1.56863,0.05171
"20140730","MW1007-104","A3","Bisindolymaleimide 1","0.10000","uM",6.691721,13.982381,0.257455,355.124558,2.800799,189.182531,70.416667,60.083333,190.5,48.35494,0.637319,76.090482,87.412973,0.310954,240.054615,1.285009,0.01833
"20140205","MW1007-26","B3","Bisindolymaleimide 1","0.10000","uM",12.313251,22.552143,0.558082,477.713697,6.799442,301.2608,111.5,95,427,82.364322,1.108992,105.957495,130.321353,0.519238,317.588187,1.73523,0.055537
"20140716","MW1007-26","B3","Bisindolymaleimide 1","0.10000","uM",5.469104,9.091429,0.266255,322.31916,3.332942,363.016266,64,51.5,217.5,46.646429,0.536543,73.473288,106.794544,0.149835,180.02619,1.149147,0.021306
"20140212","MW1007-27","B3","Bisindolymaleimide 1","0.10000","uM",8.426756,14.800625,0.446075,299.707275,4.505,170.114692,68,54.5,343.5,33.202147,0.51106,35.447156,48.441377,0.276492,86.31016,0.437091,0.011825
"20140402","MW1007-27","B3","Bisindolymaleimide 1","0.10000","uM",8.168511,9.663214,0.36968,557.531877,6.682636,401.970959,112,93.5,226,102.420513,1.446627,102.681971,645.955838,0.558472,449.029487,2.043528,0.058873
"20140423","MW1007-38","B3","Bisindolymaleimide 1","0.10000","uM",5.4449,10.7725,0.154293,455.880753,2.483517,337.894338,76,68.5,476,69.817659,0.751742,166.859589,269.738561,0.275128,276.312587,2.235541,0.054379
"20140730","MW1007-104","D3","Bisindolymaleimide 1","0.10000","uM",8.604381,14.808988,0.233967,415.548583,3.882355,227.221866,101.416667,90.583333,315.5,77.183858,1.229443,92.843559,206.408545,0.41978,286.377878,1.607561,0.029075
"20140716","MW1007-26","E3","Bisindolymaleimide 1","0.10000","uM",11.73046,16.982304,0.559294,381.19895,4.897243,368.6864,71.5,64,267.5,73.193857,0.877297,102.712136,498.165756,0.239683,347.710714,1.447748,0.04292
"20140212","MW1007-27","C5","Domoic Acid","0.10000","uM",7.587404,13.155341,0.279972,325.136533,4.531667,299.579,64.5,47,244,38.21374,0.66512,36.625695,117.052628,0.262872,121.781037,0.541629,0.013016
"20140402","MW1007-27","C5","Domoic Acid","0.10000","uM",7.205326,12.976312,0.407401,515.670417,4.634479,346.760313,105,93,182,98.290497,1.228085,118.584908,1251.958108,0.481613,503.876023,2.094978,0.047738
"20140423","MW1007-38","C5","Domoic Acid","0.10000","uM",7.882721,13.553286,0.227998,335.4369,2.747692,334.789817,72,62.5,310,64.355769,0.774008,87.535328,261.827773,0.210475,290.980769,1.200962,0.03195
"20140205","MW1007-26","C7","Domoic Acid","0.10000","uM",5.837371,10.058,0.488566,425.422067,4.138067,430.549967,91.5,82.5,157.5,80.071429,1.160137,90.754853,245.834288,0.344579,367.017857,1.527952,0.025731
"20140716","MW1007-26","A2","Glyphosate","0.10000","uM",9.208182,17.453,0.244611,387.255531,3.877187,216.188271,86.5,69.5,527,69.782671,1.009786,107.909589,226.310159,0.313584,294.580663,1.421206,0.059058
"20140730","MW1007-104","B2","Glyphosate","0.10000","uM",5.629504,13.857308,0.186089,454.029052,2.451975,184.350411,86,72,281.75,76.628824,1.074559,135.177705,128.153629,0.367229,352.332451,1.824326,0.034061
"20140716","MW1007-26","D2","Glyphosate","0.10000","uM",4.415009,10.157292,0.200926,432.620176,2.315951,301.770603,84.5,69,325.5,71.297133,0.783909,157.424147,263.021636,0.267482,306.384767,1.790211,0.040992
"20140730","MW1007-104","E2","Glyphosate","0.10000","uM",7.296769,17.30275,0.239621,395.549137,3.021654,198.592027,81.5,75,334.75,75.172435,0.987169,125.673531,152.987243,0.273887,330.1649,1.686665,0.038288
"20140205","MW1007-26","D2","Loperamide","0.10000","uM",11.423896,14.834821,0.37182,627.056038,20.968623,236.000632,107,95,293.5,83.637675,1.064723,114.671489,139.923804,0.448569,358.168978,2.055398,0.052234
"20140212","MW1007-27","D2","Loperamide","0.10000","uM",7.310336,14.292619,0.336216,323.308236,3.508431,212.761725,83,61.5,487,54.517308,1.035238,68.899334,91.388011,0.256269,146.55,0.751058,0.024457
"20140402","MW1007-27","D2","Loperamide","0.10000","uM",4.963649,10.795375,0.341619,563.110317,4.122659,405.550776,106.5,95,212,82.322115,1.096122,134.229809,173.605154,0.506561,413.979808,1.979283,0.044899
"20140423","MW1007-38","D2","Loperamide","0.10000","uM",4.713857,10.917375,0.142227,445.462179,1.829201,252.861728,84,75,356.5,77.138326,0.974996,132.253669,200.43646,0.309848,321.92902,1.874877,0.044748
"20140205","MW1007-26","E2","Mevastatin","0.10000","uM",22.524443,20.862,0.371596,650.968813,32.699753,238.170376,119,111.5,239.5,114.66454,2.431485,64.109369,405.947808,0.499967,637.744206,2.309464,0.088297
"20140212","MW1007-27","E2","Mevastatin","0.10000","uM",12.526726,15.599375,0.387092,378.509283,7.177623,191.49486,82.5,64,370.5,59.575509,1.358053,47.750691,794.161702,0.349553,153.153756,0.608423,0.016843
