date,Plate.SN,DIV,well,trt,dose,units,file.name,Mutual Information
20190710,MW69-0212,05,A1,L-Glufosinate Ammonium,0.03,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,A2,L-Glufosinate Ammonium,0,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,A3,L-Glufosinate Ammonium,0.1,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,A4,L-Glufosinate Ammonium,0.3,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,A5,L-Glufosinate Ammonium,1,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,A6,L-Glufosinate Ammonium,3,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,A7,L-Glufosinate Ammonium,10,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,A8,L-Glufosinate Ammonium,30,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,B1,Glufosinate Ammonium,0.03,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,B2,Glufosinate Ammonium,0,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,B3,Glufosinate Ammonium,0.1,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,B4,Glufosinate Ammonium,0.3,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,B5,Glufosinate Ammonium,1,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,B6,Glufosinate Ammonium,3,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,B7,Glufosinate Ammonium,10,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,B8,Glufosinate Ammonium,30,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,C1,Glyphosate,0.03,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,C2,Glyphosate,0,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,C3,Glyphosate,0.1,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,C4,Glyphosate,0.3,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,C5,Glyphosate,1,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,C6,Glyphosate,3,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,C7,Glyphosate,10,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,C8,Glyphosate,30,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
20190710,MW69-0212,05,D1,Loperamide,0.03,uM,NFA_20190710_MW69-0212_05_00(000).h5,0
